timestamp,username,decision,score,reason,model_version,client
2025-09-15 18:46:57,memooom,denied,0.224,mismatch,stub-0.2,api
2025-09-15 18:46:57,memooom,denied,0.224,mismatch,stub-0.2,api
2025-09-15 19:37:50,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 19:39:16,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 19:40:29,pins_Amanda Crew,denied,1.0,mismatch,onnx,api
2025-09-15 19:40:33,pins_Amanda Crew,denied,1.0,mismatch,onnx,api
2025-09-15 19:40:44,pins_Amanda Crew,denied,1.0,mismatch,onnx,api
2025-09-15 19:50:03,pins_Amanda Crew,denied,1.0,mismatch,onnx,api
2025-09-15 19:50:30,pins_Amanda Crew,denied,1.0,mismatch,onnx,api
2025-09-15 19:51:12,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 19:51:14,pins_Alvaro Morte,denied,0.0,locked_58s,onnx,api
2025-09-15 19:51:49,pins_Alvaro Morte,denied,0.0,locked_22s,onnx,api
2025-09-15 19:55:07,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:31:15,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:31:59,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:32:29,motasem,denied,1.0,user_not_in_model:motasem,onnx,api
2025-09-15 20:34:18,"""pins_Alvaro Morte""",denied,1.0,"user_not_in_model:""pins_Alvaro Morte""",onnx,api
2025-09-15 20:34:36,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:50:27,motasem,denied,1.0,user_not_in_model:motasem,onnx,api
2025-09-15 20:51:06,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:51:15,Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:51:16,Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 20:51:36,Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 21:26:27,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 21:26:33,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 21:27:32,pins_Alvaro Morte,denied,0.022,mismatch,onnx,api
2025-09-15 21:27:38,Alvaro Morte,denied,0.022,mismatch,onnx,api
2025-09-15 21:27:39,Alvaro Morte,denied,0.022,mismatch,onnx,api
2025-09-15 21:27:44,Alvaro,denied,0.022,mismatch,onnx,api
2025-09-15 21:27:53,Alvaro,denied,1.0,mismatch,onnx,api
2025-09-15 21:36:30,pins_Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 21:36:34,pins_Alvaro Morte,denied,0.0,no_image,onnx,api
2025-09-15 21:36:36,pins_Alvaro Morte,denied,0.0,no_image,onnx,api
2025-09-15 21:36:41,pins_Alvaro Morte,denied,0.022,mismatch,onnx,api
2025-09-15 21:36:42,pins_Alvaro Morte,denied,0.022,mismatch,onnx,api
2025-09-15 21:36:58,Alvaro Morte,denied,1.0,mismatch,onnx,api
2025-09-15 21:41:48,pins_Andy Samberg,denied,0.869,mismatch,onnx,api
2025-09-15 21:59:41,alvaro,denied,1.0,low_conf_claim,onnx,api
2025-09-15 22:12:47,alvaro,granted,1.0,ok,onnx,api
2025-09-15 22:13:47,alvaro,granted,1.0,ok,onnx,api
